metric,count,total,percent,ci95_low,ci95_high
Tool exact-match / directly useful (score=3),1136,2099,54.12101000476417,51.98364935667072,56.24331362522957
Tool clearly useful (score>=2),1289,2099,61.41019533111005,59.30854677606429,63.470154196942886
Tool weakly-to-moderately relevant (1<=score<=2),541,2099,25.774178180085755,23.94842348024133,27.688447314021047
Tool irrelevant / harmful (score<0),422,2099,20.10481181515007,18.445533128865982,21.873319227868834
Tool completely irrelevant (score=-3),417,2099,19.866603144354453,18.215383589279767,21.627921774281617
